wallet,from_address,to_address,hash,block,timestamp,tx_type,method_id,direction,asset,amount,token_amount,chain
0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x404e927b203375779a6abd52a2049ce0adf6609b,0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x794358919610aa82cd769dce60156c1daf12922eae7ec51f1912e37bd1a2be0c,0xa79e4a,1708759415,erc20,0x7ff36ab5,in,BRETT,7982204.584806182,0x69a4c2d776ccca5cbaf07,base
0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x404e927b203375779a6abd52a2049ce0adf6609b,0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x5a5eb817d128b9a9037a023276d7cd9f7c66a2d867944aacd61681de2f88b562,0xa7a08c,1708760571,erc20,0x7ff36ab5,in,BRETT,1735087.8847412062,0x16f6b4d7e0a86305e849c,base
0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0x8d58395f9a7f39bb553cd46f134ca37378e7e441f697dbc4d542a20ec06d7ba7,0xa7434c,1708712827,external,0x,in,ETH,0.2,0x2c68af0bb140000,base
0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0x404e927b203375779a6abd52a2049ce0adf6609b,0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0xdeddbf14f3d6fb62fd4e4e0c0dc9210076e0929ac45e679e43aa232486f64de2,0xa79cc4,1708758635,erc20,0xfb3bdb41,in,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0x404e927b203375779a6abd52a2049ce0adf6609b,0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0xe33975fe094ac696d79cdc4627863fb085972212c8a3ea17d4c548369acee90c,0xa79e68,1708759475,erc20,0x7ff36ab5,in,BRETT,10674975.588615164,0x8d483961288d65e5bb12d,base
0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0x404e927b203375779a6abd52a2049ce0adf6609b,0x21bca832ce1e3dff27f163f4e714f3b4cf6adfe8,0x2050b04ce6aa46ef9ee09137137f4f3c70cc48c3119d2f2b0a4bbf1ac9111035,0xa7a032,1708760391,erc20,0x7ff36ab5,in,BRETT,2441550.879750695,0x20504bd07fa49f7a51181,base
0x375ea660373fac749e03cff731ed380a10ea4bb2,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x375ea660373fac749e03cff731ed380a10ea4bb2,0x1b9dde2ea80ad94fc7df3d1324bda4116bfb1235f2914e1b875d09c42a6b9ade,0xa73471,1708705221,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x375ea660373fac749e03cff731ed380a10ea4bb2,0x404e927b203375779a6abd52a2049ce0adf6609b,0x375ea660373fac749e03cff731ed380a10ea4bb2,0xdaab94ef2f861a1538eae0feced515c3ccc2f7f2cfab637c8a4bed1673405571,0xa79c61,1708758437,erc20,0xfb3bdb41,in,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0x4bd7ce4d835c9e4212e5c0bc0a0e7d288846538055b461d12e6033ea0572312f,0xa7371a,1708706583,external,0x,in,ETH,0.1,0x16345785d8a0000,base
0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0x404e927b203375779a6abd52a2049ce0adf6609b,0x5b6eace4229dd1dde6c3b7ac2a8372fa9be5ea87,0x5f6fe4b1497d55c2313807340cf49a0c4fff25c85a1178d98e7fc6a738c609f8,0xa79cc4,1708758635,erc20,0x7ff36ab5,in,BRETT,49787746.116206,0x292ef72007b10a28dfd5c7,base
